Company name,Date of Initial Order,Monitor,Representative,Phone Number,URL
"Payless ShoeSource Canada Inc., Payless ShoeSource GP Inc. and Payless ShoeSource LP",2019-02-19,FTI Consulting Canada Inc.,Paul Bishop,1-855-718-5255,(hotline)  http://cfcanada.fticonsulting.com/paylesscanada
Nautilus Minerals Inc. & Nautilus Minerals Pacific Pty. Ltd.,2019-02-21,PricewaterhouseCoopers Inc.,Michael Joseph Vermette,604-806-7675,www.pwc.com/ca/nautilus-minerals
"Stantive Technologies Group Inc., 2441808 Ontario Inc., 2509876 Ontario Inc. and 1940857 Alberta Ltd.",2019-02-25,Ernst & Young Inc.,Alex Morrison,416-941-7743,www.ey.com/ca/stantive
"Elcano Exploration Inc., Elcano Exploration Ltd., Elcano Energy Partnership",2019-02-26,Hardie & Kelly Inc.,Marc Edward Kelly,403-777-9999,https://relieffromdebt.ca/elcano-group/
"Ascent Industries Corp., Agrima Botanicals Corp., Bloom Holdings Ltd., Bloom Meadows Corp., Agrima Scientific Corp., Pinecone Products Ltd., West Fork Holdings NV Inc.",2019-03-01,Ernst & Young Inc.,Holly Palmer,604-891-8200,www.ey.com/ca/Ascent
Divestco Inc.,2019-03-04,Grant Thornton Limited,Andrew Basi,403-296-2992,https://www.grantthornton.ca/en/service/advisory/creditor-updates/#Divestco-Inc
JTI-Macdonald Corp.,2019-03-08,Deloitte Restructuring Inc.,Philip Reynolds,416-956-9200,http://www.insolvencies.deloitte.ca/en-ca/pages/JTIMacdonaldCorp.aspx
"Imperial Tobacco Canada Limited (""ITCAN""), Imperial Tobacco Company Limited (""ITCO"")",2019-03-12,FTI Consulting Canada Inc.,Greg Watson / Paul Bishop,416-649-8044,(hotline)  http://cfcanada.fticonsulting.com/imperialtobacco
"Rothmans, Benson & Hedges Inc.",2019-03-22,Ernst & Young Inc.,Murray Allan McDonald,1-866-943-2280,www.ey.com/ca/rbh
"Bondfield Construction Company Limited, 950504 Ontario Inc., 352021 Ontario Limited, 2433485 Ontario Inc. and 2433486 Ontario Inc.",2019-04-03,Ernst & Young Inc.,Alex Morrison,416-941-7743,www.ey.com/ca/bondfield
Strategic Oil & Gas Ltd. and Strategic Transmission Ltd.,2019-04-10,KPMG Inc.,Huey Lee,604-646-6398,https://home.kpmg/ca/en/home/services/advisory/deal-advisory/creditorlinks/strategic-oil-gas-ltd-and-strategic-transmission-ltd.html
British Bazaar Company Limited and British Confectionery Company Limited,2019-05-01,Deloitte Restructuring Inc.,Mathew Harris,902-721-5602,http://www.insolvencies.deloitte.ca/en/British-Bazaar-and-British-Confectionery
North American Lithium Inc.,2019-05-28,Raymond Chabot Inc.,Benoit Fontaine,514-390-4195,https://www.raymondchabot.com/dossiers-publics/north-american-lithium-inc/
"ILTA Grain Inc. & NGP Grain Holdings, Inc.",2019-07-08,PRICEWATERHOUSECOOPERS INC.,Michael Vermette,604-806-7675,www.pwc.com/ca/ilta-grain
"Migu Investments Inc., Miniso (Canada) Store Inc., Miniso (Canada) Store One Inc., Miniso (Canada) Store Two Inc., Miniso (Canada) Store Three Inc., Miniso (Canada) Store Four Inc., Miniso (Canada) Store Five Inc., Miniso (Canada) Store Six Inc., Miniso (Canada) Store Seven Inc., Miniso (Canada) Store Eight Inc., Miniso (Canada) Store Nine Inc., Miniso (Canada) Store Ten Inc., Miniso (Canada) Store Eleven Inc., Miniso (Canada) Store Twelve Inc., Miniso (Canada) Store Thirteen Inc., Miniso (Canada) Store Fourteen Inc., Miniso (Canada) Store Fifteen Inc., Miniso (Canada) Store Sixteen Inc., Miniso (Canada) Store Seventeen Inc., Miniso (Canada) Store Eighteen Inc., Miniso (Canada) Store Nineteen Inc., Miniso (Canada) Store Twenty Inc., Miniso (Canada) Store Twenty-One Inc., Miniso (Canada) Store Twenty-Two Inc., Miniso Canada Investments Inc.",2019-07-12,Alvarez & Marsal Canada Inc.,Anthony Tillman,604-639-0849,https://www.alvarezandmarsal.com/minisocanada
"Gedex Systems Inc., Gedex Aviation Inc., Black Bay Minerals Corporation, Gedex Exploration Inc., and Gedex Earth Inc.",2019-08-12,Zeifman Partners Inc.,Allan A. Rutman,416-256-4000,https://www.zeifmans.ca/current-insolvency-files/
"Stornoway Diamond Corporation, Ashton Mining of Canada Inc., FCDC Sales and Marketing inc., Stornoway Diamonds (Canada) Inc.",2019-09-09,Deloitte Restructuring Inc.,Jean-François Nadon,514-390-0959,https://www.insolvencies.deloitte.ca/stornoway
"Energold Drilling Corp., Cros-Man Direct Underground Ltd., EGD Services Ltd., Bertram Drilling Corp., and Omniterra International Drilling Inc.",2019-09-13,FTI Consulting Canada Inc.,Thomas Powell,604-484-9525,http://cfcanada.fticonsulting.com/Energold
Forever XXI ULC,2019-09-29,PricewaterhouseCoopers Inc.,Greg Prince,416-814-5752,www.pwc.com/ca/forever21
Bellatrix Exploration Ltd.,2019-10-02,PricewaterhouseCoopers Inc.,Paul Darby,403-509-6677,https://www.pwc.com/ca/bellatrix
Del Equipment Inc.,2019-10-22,MNP Ltd.,Sheldon Title,416-263-6945,https://mnpdebt.ca/en/corporate/engagements/DELEquipment
"North American Fur Auctions Inc., North American Fur Producers Inc., NAFA Properties Inc., NAFA Properties (US) Inc., 3306319 Nova Scotia Limited, NAFA Properties Stoughton LLC, North American Fur Auctions (US) Inc., NAFPRO LLC (Wisconsin LLC), NAFA Europe Co-Operatief UA, NAFA Europe B.V., Daikoku SP.Z OO, and NAFA Polska SP.Z OO",2019-10-31,Deloitte Restructuring Inc.,Philip J. Reynolds,416-956-9200,https://www.insolvencies.deloitte.ca/en-ca/pages/NorthAmericanFurAuctionInc.aspx
3834310 Canada Inc. and Le Groupe Capitales Médias Inc.,2019-11-21,PricewaterhouseCoopers Inc.,Christian Bourque,514-205-5434,www.pwc.com/ca/capitalesmedias
9227-1584 Québec Inc. and 9336-9262 Québec Inc.,2019-11-22,KPMG Inc.,"Codere, Maxime",514-940-7528,https://mnpdebt.ca/en/corporate/engagements/DELEquipment
Accel Canada Holdings Limited and Accel Energy Canada limited,2019-11-22,PricewaterhouseCoopers Inc.,Paul Darby,403-509-6677,www.pwc.com/ca/accelcanada
"Clover Leaf Holdings Company, Connors Bros. Clover Leaf Seafoods Company, K.C.R. Fisheries Ltd., 6162410 Canada Limited, Connors Bros. Holdings Company and Connors Bros. Seafoods Company",2019-11-22,Alvarez & Marsal Canada Inc.,Alan Hutchens,416-847-5159,www.alvarezandmarsal.com/cloverleaf
"Tli Cho Landtran Transport Ltd., 1456998 Alberta Ltd., 1456982 Alberta Ltd. and Ventures West Limited Partnership",2019-11-29,MNP Ltd.,Vanessa Allen,587-702-5963,https://mnpdebt.ca/ventures
"9348069 Canada Inc., 4295862 Canada Inc., Motovan Corporation, Moncy Holding Company Inc., Moncy Financial Services Company Inc., Nichols Motorcycle Supply Inc., Moncy LLC and Motorcycle Tires & Accessories LLC",2019-12-02,KPMG Inc.,Dev A. Coossa,514-840-2555,www.kpmg.com/ca/motovan
"AgMedica Bioscience Inc., 2472602 Ontario Inc., 2642466 Ontario Inc., 8895309 Canada Inc., Wellworth Health Corp., 8050678 Canada Inc., 8326851 Canada Inc., Tavivat Naturals Inc., Worldwide Beverage Innovations Inc., Unique Beverages (USA) Inc., and Eseela Inc.",2019-12-02,Ernst & Young Inc.,Alexander Morrison,416-941-7743,www.ey.com/ca/agmedica
"Wayland Group Corp., Maricann Inc. and Nanoleaf Technologies Inc.",2019-12-02,PricewaterhouseCoopers Inc.,Michael McTaggart,416-687-8924,www.pwc.com/ca/wayland
"1112-1124 Capital Corp., 20/20 Capital Corp., 411 Ltd., 534 Capital Corp., 550 Capital Corp., 744 (2011) Capital Corp., 808 Capital Corp., 926 Capital Corp., Airdrie Gateway Block 2 Capital Corp., Airways Business Plaza Capital Corp., Aura Capital Corp., Avenida Village Ltd., Blackfoot Centre Ltd., Bonavista Square Ltd., Center Street GP Ltd., Centre 1000 Capital Corp., Centre Eleven Capital Corp., Centro 2102 Capital Corp., Deerfoot 17 Corp., Deerfoot Court (2011) Capital Corp., First Street Plaza GP Ltd., Glenmore Commerce Court Capital Corp., Inglewood 9th Avenue GP Ltd., Kensington Building Capital Corp., Louise Block Capital Corp., Macleod Place Ltd., Mayfield Capital Corp., Mission Centre Inc., Airdrie Creekside Capital Corp., Torode Strategic 1129 GP Ltd., One Six Capital Corp., Parallel Centre Ltd., Paramount Building Ltd., Parkwood/Eastgate Capital Corp., Pegasus Business Park Ltd., Stony Plain Capital Corp., Petro Fina Capital Corp., Petro West Ltd., Place 9-6 Ltd., Shelbourne Place Ltd., Stella Place Capital Corp., Strategic Centre Ltd., Sundance Place Ltd., Sundance Place II Ltd., Sunpark Place Ltd., Airdrie Gateway Block 3 Capital Corp., Wesley Church Building Inc., Willow Park Capital Corp., 411 Capital Corp., 1445122 Alberta Ltd., 1220 Kensington Road Corp., Macleod Place Holding Corp.",2019-12-10,Hardie & Kelly Inc.,Marc Kelly,403-777-9999,https://relieffromdebt.ca/iec-audeamus
"Fortress Global Enterprises Inc., Fortress Specialty Cellulose Inc., Fortress Bioenergy Ltd., Fortress Xylitol Inc. and 9217-6536 Québec Inc.",2019-12-16,Deloitte Restructuring Inc.,Jean-François Nadon,514-390-0959,http://www.insolvencies.deloitte.ca/Fortress
"Lydian International Limited, Lydian Canada Ventures Corporation and Lydian U.K. Corporation Limited",2019-12-23,Alvarez & Marsal Canada Inc.,Alan Hutchens,416-847-5159,www.alvarezandmarsal.com/lydian
"Nemaska Lithium Inc., Nemaska Lithium P1P Inc., Nemaska Lithium Shawinigan Transformation Inc., Nemaska Lithium Innovation Inc., Nemaska Lithium Whabouchi Mine Inc.",2019-12-23,PricewaterhouseCoopers Inc.,Christian Bourque,514-205-5434,www.pwc.com/ca/nemaskalithium
"101098672 Saskatchewan Ltd., Morris Industries Ltd., Morris Sales and Service Ltd., Contour Realty Inc. and Morris Industries (USA) Inc.",2020-01-08,Alvarez & Marsal Canada Inc.,Orest Konowalchuk,403-538-7555,www.alvarezandmarsal.com/morris
Quest University Canada,2020-01-16,PricewaterhouseCoopers Inc.,Neil Bunker,604-806-7209,www.pwc.com/ca/questu
SFP Canada Ltd.,2020-01-23,Richter Advisory Group Inc.,Adam Sherman,416-488-2345,https://www.richter.ca/insolvencycase/sfp-canada-ltd/
"Rebuts Solides Canadiens Inc., La Compagnie de Recyclage de Papiers MD Inc., Col Sel Transit Inc., Recy-Compact Inc. et Transport de Matières Recyclables Optimum Inc.",2020-02-03,PricewaterhouseCoopers Inc.,Philippe Jordan,604-806-7209,www.pwc.com/ca/rebutssolidescanadiens
1034179 B.C. Ltd.,2020-02-04,The Bowra Group Inc.,Mario Mainella,604-608-6244,https://www.bowragroup.com/1034179bcltd
Ontario Graphite Ltd.,2020-02-12,Deloitte Restructuring Inc.,Philip J. Reynolds,416-956-9200,www.insolvencies.deloitte.ca/en-ca/ogl
"Invictus MD Strategies Corp., Greener Pastures MD Ltd., Acreage Pharms Ltd., and 2015059 Alberta Ltd.",2020-02-13,PricewaterhouseCoopers Inc.,Michelle Grant,604-806-7184,www.pwc.com/ca/invictus
2607380 Ontario Inc.,2020-02-25,Richter Advisory Group Inc.,Paul Van Eyk,416-485-4592,https://www.richter.ca/insolvencycase/2607380-ontario-inc/
"Spectra Premium Industries Inc., Spectra Premium Holdings (USA) Corp., Spectra Premium (USA) Corp., Spectra Premium Properties (USA) Corp., Spectra Premium Taiwan Co. Ltd., Spectra Premium (Shanghai) Automotive Technical Services Co. Ltd. and Spectra Premium (Chongqing) Automotive Services Co. Ltd.",2020-03-10,Ernst & Young Inc.,Eric St-Amour,514-205-5434,http://www.ey.com/ca/spectra
"Pure Global Cannabis Inc., Puresinse Inc., 237A Advance Inc., 237B Advance Inc., SPRQ Health Group Corp., and The Great Canadian Hemp Company Ltd.",2020-03-19,Ernst & Young Inc.,Alexander Morrison,416-941-7743,https://www.ey.com/ca/pureglobal
"CannTrust Holdings Inc, CannTrust Inc., CTI Holdings (Osoyoos) Inc. and Elmcliffe Investments Inc.",2020-03-31,Ernst & Young Inc.,Alexander Morrison,416-941-7743,www.ey.com/ca/canntrust
"James E. Wagner Cultivation Corporation, James E. Wagner Cultivation Ltd., JWC 1 Ltd., JWC 2 Ltd., JWC Supply Ltd. and GrowthStorm Inc.",2020-04-01,KSV Kofman Inc.,Robert Kofman,416-932-6228,www.ksvadvisory.com/insolvency-cases/case/james-e-wagner-cultivation-corporation
Green Relief Inc.,2020-04-08,PricewaterhouseCoopers Inc.,Greg Prince,416-814-5752,www.pwc.com/ca/greenrelief
Delphi Energy Corp. and Delphi Energy (Alberta) Limited,2020-04-14,PricewaterhouseCoopers Inc.,Paul Darby,403-509-6677,www.pwc.com/ca/delphi
"Dominion Diamond Mines ULC, Dominion Diamond Delaware Company, LLC, Dominion Diamond Canada ULC, Washington Diamond Investments, LLC, Dominion Diamond Holdings, LLC and Dominion Finco Inc.",2020-04-22,FTI Consulting Canada Inc.,Deryck Helkaa,403-454-6035,http://cfcanada.fticonsulting.com/dominion/
Soccer Express Trading Corp. and Kahunaverse Sports Group Inc.,2020-04-30,PricewaterhouseCoopers Inc.,Neil Bunker,604-806-7209,www.pwc.com/ca/kahunaverse
JMB Crushing Systems Inc. and 2161889 Alberta Ltd.,2020-05-01,FTI Consulting Canada Inc.,Deryck Helkaa,403-454-6035,http://cfcanada.fticonsulting.com/jmb
"Développement Lachine Est Inc., Construction Frank Catania et Associés Inc., Les Développements Immobiliers F. Catania et Associés Inc., Groupe Frank Catania & Associés Inc., 7593724 Canada Inc., 3886735 Canada Inc., 4204930 Canada Inc., 4167601 Canada Inc., 4286567 Canada Inc. and 4127927 Canada Inc.",2020-05-07,Raymond Chabot Inc.,Jean Gagnon,514-879-1385,www.raymondchabot.com/en/companies/public-records/groupe-catania/
"The Aldo Group Inc., Southwest Capital Holdings Inc., Aldo U.S. Inc., Aldo Marketing LLC, Aldo Shoes West Forty Second, LLC, Aldo 1125 Third Ave Corp., 1230 Avenue of the Americas LLC, Aldo 5th Ave. Inc. and Aldo 250 West 125 Inc.",2020-05-07,Ernst & Young Inc.,Martin Rosenthal,514-879-6549,www.ey.com/ca/aldo
"Flighthub Group Inc., Flighthub Service Inc., SSFP Corp., Justfly Inc., Justfly Corp. and 11644670 Canada Inc.",2020-05-08,MNP Ltd.,Pierre Marchand,514-861-9714,www.mnpdebt.ca/en/corporate/engagements/flighthub-group
"Redrock Camps Inc., Sockeye Enterprises Inc., Sweetwater Hospitality Inc. and Baldr Construction Management Inc.",2020-05-13,BDO Canada Limited,Brian Veres,403-331-6368,https://www.bdo.ca/en-ca/extranets/redrock/
"ENTREC Corporation, Capstan Hauling Ltd., ENTREC Alberta Ltd., ENT Capital Corp., ENTREC Cranes & Heavy Haul Inc., ENTREC Holdings Inc., ENT Oilfield Group Ltd. and ENTREC Services Ltd.",2020-05-15,Alvarez & Marsal Canada Inc.,Anthony Tillman,604-639-0849,https://www.alvarezandmarsal.com/entrec
Reitmans (Canada) Limited,2020-05-19,Ernst & Young Inc.,Martin Rosenthal,514-879-6549,www.ey.com/ca/reitmans
"Green Growth Brands Inc., GGB Canada Inc., Green Growth Brands Realty Ltd. and Xanthic Biopharma Limited",2020-05-20,Ernst & Young Inc.,Sharon Hamilton,416-943-2153,www.ey.com/ca/ggbi
Cequence Energy Ltd. and 1175043 Alberta Ltd.,2020-05-29,Ernst & Young Inc.,Neil Narfason,403-206-5067,www.ey.com/ca/cequence
Port Capital Development (EV) Inc. and Evergreen House Development Limited Partnership,2020-05-29,Ernst & Young Inc.,Michael Bell,604-899-3566,www.ey.com/ca/terracehouse
Bow River Energy Ltd.,2020-06-01,BDO Canada Limited,Brian Veres,403-331-6368,https://www.bdo.ca/en-ca/extranets/bowriver/
"Comark Holdings Inc., Bootlegger Clothing Inc., Cleo Fashions Inc. and Ricki’s Fashions Inc.",2020-06-03,Alvarez & Marsal Canada Inc.,Alan Hutchens,416-847-5159,https://www.alvarezandmarsal.com/comarkholdings
Peraso Technologies Inc,2020-06-03,Ernst & Young Inc.,Brian Denega,416-943-3058,www.ey.com/ca/peraso
"Beleave Inc., Beleave Kannabis Corp., Seven Oaks Inc., 9334416 Canada Inc. O/A Medigreen and My-Grow, Beleave Kannabis Abbotsford Inc. and Beleave Kannabis Chilliwack Inc.",2020-06-05,Grant Thornton Limited,Daniel Wootton,416-360-3063,https://www.grantthornton.ca/beleave
957855 Alberta Ltd. (Formerly Newswest Inc.) and Rosebud Creek Financial Corp.,2020-06-17,KSV Kofman Inc.  Représentant : Robert Kofman  416-285-2050  https://www.ksvadvisory.com/insolvency-cases/case/metro360,,,
"1057863 BC Ltd., Northern Resources Nova Scotia Corporation, Northern Pulp Nova Scotia Corporation, Northern Timber Nova Scotia Corporation, 3253527 Nova Scotia Limited, 3243722 Nova Scotia Limited and Northern Pulp NS GP ULC",2020-06-19,Ernst & Young Inc.,Holly Palmer,604-889-3583,www.ey.com/ca/northernpulp
The Clover on Yonge Inc. and The Clover on Yonge Limited Partnership,2020-06-22,PricewaterhouseCoopers Inc.,Mica Arlette,416-814-5834,www.pwc.com/ca/clover-ccaa
GFA World,2020-06-26,PricewaterhouseCoopers Inc.,Michael McTaggart,416-687-8924,www.pwc.com/ca/gfaworld
Roberts Company Canada Limited,2020-06-29,Richter Advisory Group,"Sherman, Adam Daniel",905-881-7573,https://www.richter.ca/insolvencycase/roberts-company-canada-limited/
Cirque Du Soleil Canada Inc. et al.,2020-06-30,Ernst & Young Inc.,Martin Rosenthal,514-879-6549,www.ey.com/ca/cirque
Korite International Inc.,2020-06-30,BDO Canada Limited,Brian Veres,403-331-6368,https://www.bdo.ca/en-ca/extranets/korite/
"Northern Silica Corporation, Heemskirk Mining PTY. Ltd., Heemskirk Canada Holdings Limited, Heemskirk Canada Limited, Custom Bulk Services Inc., and HCA Mountain Minerals (Moberly) Limited",2020-06-30,Alvarez & Marsal Canada Inc.,Orest Konowalchuk,403-538-4736,www.alvarezandmarsal.com/northernsilica
Constructions Louisbourg Ltée,2020-07-08,Raymond Chabot Inc.,Jean Gagnon,514-879-1385,www.raymondchabot.com/fr/entreprises/dossiers-publics/constructions-louisbourg-ltee-2/
DAVIDsTEA Inc. DAVIDsTEA (USA) Inc.,2020-07-08,PricewaterhouseCoopers Inc.,Claudio Filippone,514-205-5000,www.pwc.com/ca/davidstea
"Simard-Beaudry Construction Inc., Gestion Accuvest Inc., 9054-9999 Quebec Inc., 9147-1730 Quebec Inc., 9232-4656 Quebec Inc.",2020-07-08,RAYMOND CHABOT INC.,"GAGNON, JEAN",514-879-1385,https://www.raymondchabot.com/fr/entrepr ises/dossiers-publics/simard-beaudry-con struction-inc/
Stokes Inc.,2020-07-27,Richter Advisory Group Inc.,Olivier Benchaya,514-934-8618,https://www.richter.ca/insolvencycase/stokes-inc/
Magasin Laura (P.V.) Inc. / Laura's Shoppe (P.V.) Inc.,2020-07-31,KPMG Inc.,Dev A. Coossa,514-840-2555,https://home.kpmg/ca/en/home/services/advisory/deal-advisory/creditorlinks/lauras-shoppe-pv-inc-2020.html
Tribalscale Inc.,2020-07-31,MNP Ltd.,Sheldon Title,416-263-6945,https://mnpdebt.ca/en/corporate/corporate-engagements/tribalscale-inc
Guardian Financial Corp. and other entities listed on Schedule A,2020-08-31,KSV Kofman Inc.,Robert Kofman,416-932-6228,https://www.ksvadvisory.com/insolvency-cases/case/rgn-national-business-centers
Ernest Enterprises (Mtl) Ltd. / Les Entreprises Ernest (Mtl) Ltée,2020-09-04,Ernst & Young Inc.,Martin Rosenthal,514-879-6549,www.ey.com/ca/ernest
"UrtheCast Corp., UrtheCast International Corp., Urthecast USA Inc, 1185729 B.C. Ltd. et al.",2020-09-04,Ernst & Young Inc.,Philippe Mendelson,604-891-8491,www.ey.com/ca/urthecast
"Glenogle Energy Inc., 1651558 Alberta Ltd. and Glenogle Energy LP",2020-09-08,Ernst & Young Inc.,Neil Narfason,403-206-5067,www.ey.com/ca/glenogleenergy
"Groupe Dynamite Inc., GRG USA Holdings Inc. and GRG USA LLC",2020-09-08,Deloitte Restructuring Inc.,Jean-Francois Nadon,514-390-0959,www.insolvencies.deloitte.ca/GDI
Mountain Equipment Co-operative and 1314625 Ontario Limited,2020-09-14,Alvarez & Marsal Canada Inc.,Todd Martin,604-872-7858,www.alvarezandmarsal.com/MEC
Pharmhouse Inc.,2020-09-15,Ernst & Young Inc.,Alexander Morrison,416-941-7743,www.ey.com/ca/pharmhouse
"Hematite Holdings Inc., Hematite Manufacturing Inc., Hematite Industrial Products Inc., Canadian Pavaco Inc., Pavaco Holdings U.S. Inc., Hematite Inc. and Hematite Automotive Products Inc.",2020-09-18,KPMG Inc.,Katherine Forbes,416-777-8107,https://home.kpmg/ca/hematitegroup
"JMX Contracting Inc., JMX National Inc., BRND Properties Inc., and JMX Leasing Inc. (collectively, the “JMX Group”)",2020-09-29,Crowe Soberman Inc.,Hans Rizarri,416-929-2500,https://www.crowesobermaninc.com/insolvency/insolvency-cases/jmx-group/
Creditloans Canada Financing Inc. and Creditloans Canada Capital Inc.,2020-09-30,BDO Canada Limited,Ilya Margulis,604-646-4395,https://www.bdo.ca/en-ca/extranets/creditloans/
"Sunniva Inc., Sunniva Medical Inc., 111111035 Canada Inc. and 1167025 BC Ltd.",2020-10-09,Alvarez & Marsal Canada Inc.,Anthony Tillman,604-639-0849,https://www.alvarezandmarsal.com/sunniva
Express Gold Refining Ltd.,2020-10-15,Deloitte Restructuring Inc.,Philip J. Reynolds,416-956-9200,www.insolvencies.deloitte.ca/en-ca/ExpressGoldRefiningLtd
Le Château Inc. and Château Stores Inc.,2020-10-23,PricewaterhouseCoopers Inc.,Claudio Filippone,514-205-5000,https://www.pwc.com/ca/en/services/insolvency-assignments/le-chateau.html
Muskoka Grown Limited,2020-11-04,A. Farber & Partners Inc.,Gary Lifman,416-497-0150,https://farbergroup.com/engagements/muskoka-grown/
"King Street Company Inc., The King Street Hospitality Group Inc., Bonta Trading Co. Inc., 2268218 Ontario Inc., 1733667 Ontario Limited, The King Street Food Company Inc., The King Street Restaurant Company Inc., 2112047 Ontario Ltd., Ji Yorkdale Inc., Ji Square One Inc., 1771669 Ontario Inc. , Cxbo Inc., 2608765 Ontario Inc., 2272224 Ontario Inc., 2327729 Ontario Inc., 2577053 Ontario Inc., 2584858 Ontario Inc., 2621298 Ontario Inc., 2641784 Ontario Inc., and 2656966 Ontario Inc.",2020-11-06,MNP Ltd.,Sheldon Title,416-263-6945,https://mnpdebt.ca/en/corporate/corporate-engagements/king-street-restaurant-group
Cambridge Group Inc.,2020-12-11,Grant Thornton Limited,Dan Wootton,416-360-3063,www.grantthornton.ca/cambridge/
Boutique Tristan & Iseut Inc.,2021-01-20,MNP Ltd.,Gaetano Di Guglielmo,514-228-7888,https://mnpdebt.ca/en/corporate/corporate-engagements/boutique-tristan-iseut-inc-ccaa/
"FIGR Brands, Inc., Canada's Island Garden Inc., and FIGR Norfolk Inc.",2021-01-21,FTI Consulting Canada Inc.,Jeffrey Rosenberg,416-649-8100,http://cfcanada.fticonsulting.com/figr
"Yatsen Group of Companies Inc., SAR Real Estate Inc. et al.",2021-01-25,Alvarez & Marsal Canada Inc.,Alan Hutchens,416-847-5159,www.alvarezandmarsal.com/YatsenGroup
Kanwal Inc. and 9058-0150 Quebec Inc.,2021-01-29,PricewaterhouseCoopers Inc.,Philippe Jordan,514-205-5232,www.pwc.com/ca/kanwal
Laurentian University of Sudbury,2021-02-01,Ernst & Young Inc.,Sharon Hamilton,416-943-2153,www.ey.com/ca/laurentian
"Calgary Oil & Gas Syndicate Group Ltd., Calgary Oil and Gas Intercontinental Group Ltd., T5 SC Oil and Gas Limited Partnership, Calgary Oil and Syndicate Partners Ltd. and Petroworld Energy Ltd.",2021-02-11,BDO Canada Limited,Marc Kelly,403-777-9999,www.bdo.ca/en-ca/extranets/calgaryoilandgas/
"TGF Acquisition Parent Ltd., Sun Rich Fresh Foods Inc. & Tiffany Gate Foods Inc.",2021-02-17,Ernst & Young Inc.,Alexander Morrison,416-941-7743,www.ey.com/ca/freshfoodcanada
"Atis Group Inc., 10422916 Canada Inc., 8528853 Canada Inc., 9060642 Canada Inc., 9092455 Canada Inc., Distributeur Vitro Clair Inc., Solarcan Architectural Holding Limited, Vitrerie Lévis Inc., and Vitrotec Portes & Fenêtres Inc.",2021-02-19,Raymond Chabot Inc.,Dominic Deslandes,438-858-3499,https://www.raymondchabot.com/fr/entreprises/dossiers-publics/atis/
Ardenton Capital Corporation and Ardenton Capital Bridging Inc.,2021-03-05,KSV Restructuring Inc.,Robert Kofman,416-932-6228,https://www.ksvadvisory.com/insolvency-cases/case/ardenton-capital-corporation
"Just Energy Group Inc., Just Energy Corp., Ontario Energy Commodities Inc., Universal Energy Corporation, Just Energy Finance Canada ULC, Hudson Energy Canada Corp., Just Management Corp., Just Energy Finance Holding Inc., 11929747 Canada Inc., 12175592 Canada Inc., JE Services Holdco I Inc., JE Services Holdco II Inc., 8704104 Canada Inc., Just Energy Advanced Solutions Corp., Just Energy (U.S.) Corp., Just Energy Illinois Corp, Just Energy Indiana Corp., Just Energy Massachusetts Corp., Just Energy New York Corp., Just Energy Texas I Corp., Just Energy, LLC, Just Energy Pennsylvania Corp., Just Energy Michigan Corp., Just Energy Solutions Inc., Hudson Energy Services LLC, Hudson Energy Corp., Interactive Energy Group LLC, Hudson Parent Holdings LLC, Drag Marketing LLC, Just Energy Advanced Solutions LLC, Fulcrum Retail Energy LLC, Fulcrum Retail Holdings LLC, Tara Energy, LLC, Just Energy Marketing Corp., Just Energy Connecticut Corp., Just Energy Limited, Just Solar Holdings Corp., and Just Energy (Finance) Hungary ZRT.",2021-03-09,FTI Consulting Canada Inc.,Paul Bishop,1-844-669-6340,http://cfcanada.fticonsulting.com/justenergy/
"Hydrx Farms Ltd., Cannscience Innovations Inc. and Scientus Pharma Inc.",2021-03-22,Schwartz Levitsky Feldman Inc.,Alan Page,416-785-5353,http://www.slfinc.ca/corporate/engagements/
EncoreFX Inc.,2021-03-30,Ernst & Young Inc.,Michael Bell,604-899-3566,www.ey.com/ca/encorefx
Coalspur Mines (Operations) Ltd.,2021-04-26,FTI Consulting Canada Inc.,Deryck Helkaa,403-454-6035,http://cfcanada.fticonsulting.com/coalspur/
Bioénergie AE Côte-Nord Canada Inc.,2021-05-05,Raymond Chabot Inc.,Robert Kofman,418-647-3078,https://www.raymondchabot.com/fr/entreprises/dossiers-publics/bioenergie-ae-cote-nord-canada-inc/
Salt Bush Energy Ltd. and 2345141 Alberta Ltd.,2021-05-19,Deloitte Restructuring Inc.,Robert Taylor,403-267-0501,https://www.insolvencies.deloitte.ca/en-ca/pages/Salt-Bush-Energy-Ltd.aspx
Clearbeach Resources Inc. and Forbes Resources Corp.,2021-05-26,MNP Ltd.,Rob Smith,519-964-2212,www.mnpdebt.ca/clearbeach
Spartan Bioscience Inc.,2021-06-21,Ernst & Young Inc.,Gregory Adams,613-232-1511,www.ey.com/ca/spartan
Abbey Resources Corp.,2021-08-13,MNP Ltd.  Representative : Victor P. Kroeger  1-403-298-8479  http://mnpdebt.ca/en/corporate/corporate-engagements/abbey-resources-corporation,,,
Plus Products Inc.,2021-09-13,PRICEWATERHOUSECOOPERS INC.,"WHELDON, CLAIRE",604-806-7154,www.pwc.com/ca/en/services/insolvency-assignments/plus-products.html
McEwan Enterprises Inc.,2021-09-28,ALVAREZ & MARSAL CANADA INC.,"Greg, Karpel",416-847-5170,http://www.alvarezandmarsal.com/McEwanEnterprises
Medifocus Inc.,2021-10-07,MSI SPERGEL INC.,"MANCHANDA, MUKUL",416-498-4314,https://www.spergelcorporate.ca/engagements/medifocus-inc/
